state,x,y
Andhra Pradesh,-74.0,-170.0
Arunachal Pradesh,228.0,104.0
Assam,195.0,68.0
Bihar,59.0,52.0
Chhattisgarh,-25.0,-44.0
Goa,-171.0,-163.0
Gujarat,-229.0,-18.0
Haryana,-125.0,126.0
Himachal Pradesh,-118.0,193.0
Jharkhand,40.0,7.0
Karnataka,-139.0,-191.0
Kerala,-123.0,-268.0
Madhya Pradesh,-88.0,-5.0
Maharashtra,-168.0,-84.0
Manipur,216.0,27.0
Meghalaya,156.0,40.0
Mizoram,198.0,-7.0
Nagaland,235.0,55.0
Odisha,48.0,-56.0
Punjab,-152.0,169.0
Rajasthan,-185.0,73.0
Sikkim,110.0,94.0
Tamil Nadu,-67.0,-252.0
Telangana,-74.0,-109.0
Tripura,163.0,7.0
Uttar Pradesh,-52.0,88.0
Uttarakhand,-60.0,157.0
West Bengal,98.0,-9.0
